object,member,kind,signature,interface_gaps,status,evidence,note
Application,ControlCharacters,property,As Boolean,,MISSING,,
Application,ConvertFormula,method,"ConvertFormula(Formula As Variant, FromReferenceStyle As XlReferenceStyle, [ToReferenceStyle As Variant], [ToAbsolute As Variant], [RelativeTo As Variant]) As Variant",,MISSING,,
Application,CopyObjectsWithCells,property,As Boolean,,MISSING,,
Application,Creator,"property, read-only",As XlCreator,,UNASSESSED,,
Application,Cursor,property,As XlMousePointer,,MISSING,,
Application,CursorMovement,property,As Long,,MISSING,,
Application,CustomListCount,"property, read-only",As Long,,MISSING,,
Application,CutCopyMode,property,As XlCutCopyMode,,UNASSESSED,,
Application,DataEntryMode,property,As Long,,MISSING,,
Application,DDEAppReturnCode,"property, read-only",As Long,,MISSING,,
Application,DDEExecute,method,"DDEExecute(Channel As Long, String As String)",,MISSING,,
Application,DDEInitiate,method,"DDEInitiate(App As String, Topic As String) As Long",,MISSING,,
Application,DDEPoke,method,"DDEPoke(Channel As Long, Item As Variant, Data As Variant)",,MISSING,,
Application,DDERequest,method,"DDERequest(Channel As Long, Item As String) As Variant",,MISSING,,
Application,DDETerminate,method,DDETerminate(Channel As Long),,MISSING,,
Application,DecimalSeparator,property,As String,,MISSING,,
Application,DefaultFilePath,property,As String,,MISSING,,
Application,DefaultPivotTableLayoutOptions,"property, read-only",As DefaultPivotTableLayoutOptions,,MISSING,,
Application,DefaultSaveFormat,property,As XlFileFormat,,MISSING,,
Application,DefaultSheetDirection,property,As Long,,MISSING,,
Application,DefaultWebOptions,"property, read-only",As DefaultWebOptions,,MISSING,,
Application,DeferAsyncQueries,property,As Boolean,,MISSING,,
Application,DeleteCustomList,method,DeleteCustomList(ListNum As Long),,MISSING,,
Application,Dialogs,"property, read-only",As Dialogs,,MISSING,,
Application,DisplayAlerts,property,As Boolean,,UNASSESSED,,
Application,DisplayClipboardWindow,property,As Boolean,,MISSING,,
Application,DisplayCommentIndicator,property,As XlCommentDisplayMode,,MISSING,,
Application,DisplayDocumentActionTaskPane,property,As Boolean,,MISSING,,
Application,DisplayDocumentInformationPanel,property,As Boolean,,MISSING,,
Application,DisplayExcel4Menus,property,As Boolean,,MISSING,,
Application,DisplayFormulaAutoComplete,property,As Boolean,,MISSING,,
Application,DisplayFormulaBar,property,As Boolean,,MISSING,,
Application,DisplayFullScreen,property,As Boolean,,MISSING,,
Application,DisplayFunctionToolTips,property,As Boolean,,MISSING,,
Application,DisplayInsertOptions,property,As Boolean,,MISSING,,
Application,DisplayNoteIndicator,property,As Boolean,,MISSING,,
Application,DisplayPasteOptions,property,As Boolean,,MISSING,,
Application,DisplayRecentFiles,property,As Boolean,,MISSING,,
Application,DisplayScrollBars,property,As Boolean,,MISSING,,
Application,DisplayStatusBar,property,As Boolean,,MISSING,,
Application,DisplayXMLSourcePane,method,DisplayXMLSourcePane([XmlMap As Variant]),,MISSING,,
Application,DoubleClick,method,DoubleClick(),,MISSING,,
Application,EditDirectlyInCell,property,As Boolean,,MISSING,,
Application,EnableAnimations,property,As Boolean,,MISSING,,
Application,EnableAutoComplete,property,As Boolean,,MISSING,,
Application,EnableCancelKey,property,As XlEnableCancelKey,,MISSING,,
Application,EnableCheckFileExtensions,property,As Boolean,,MISSING,,
Application,EnableEvents,property,As Boolean,,UNASSESSED,,
Application,EnableLargeOperationAlert,property,As Boolean,,MISSING,,
Application,EnableLivePreview,property,As Boolean,,MISSING,,
Application,EnableMacroAnimations,property,As Boolean,,MISSING,,
Application,EnableSound,property,As Boolean,,MISSING,,
Application,ErrorCheckingOptions,"property, read-only",As ErrorCheckingOptions,,MISSING,,
Application,Evaluate,method,Evaluate(Name As Variant) As Variant,,UNASSESSED,,
Application,Excel4IntlMacroSheets,"property, read-only",As Sheets,,MISSING,,
Application,Excel4MacroSheets,"property, read-only",As Sheets,,MISSING,,
Application,ExecuteExcel4Macro,method,ExecuteExcel4Macro(String As String) As Variant,,MISSING,,
Application,ExtendList,property,As Boolean,,MISSING,,
Application,FeatureInstall,property,As MsoFeatureInstall,,MISSING,,
Application,FileConverters,"property, read-only",As Variant,,MISSING,,
Application,FileDialog,"property, read-only",As FileDialog,,MISSING,,
Application,FileExportConverters,"property, read-only",As FileExportConverters,,MISSING,,
Application,FileValidation,property,As MsoFileValidationMode,,MISSING,,
Application,FileValidationPivot,property,As XlFileValidationPivotMode,,MISSING,,
Application,FindFile,method,FindFile() As Boolean,,MISSING,,
Application,FindFormat,property,As CellFormat,,MISSING,,
Application,FixedDecimal,property,As Boolean,,MISSING,,
Application,FixedDecimalPlaces,property,As Long,,MISSING,,
Application,FlashFill,property,As Boolean,,MISSING,,
Application,FlashFillMode,property,As Boolean,,MISSING,,
Application,FormatStaleValues,property,As Boolean,,MISSING,,
Application,FormulaBarHeight,property,As Long,,MISSING,,
Application,GenerateGetPivotData,property,As Boolean,,MISSING,,
Application,GenerateTableRefs,property,As XlGenerateTableRefs,,MISSING,,
Application,GetCustomListContents,method,GetCustomListContents(ListNum As Long) As Variant,,MISSING,,
Application,GetCustomListNum,method,GetCustomListNum(ListArray As Variant) As Long,,MISSING,,
Application,GetOpenFilename,method,"GetOpenFilename([FileFilter As Variant], [FilterIndex As Variant], [Title As Variant], [ButtonText As Variant], [MultiSelect As Variant]) As Variant",,MISSING,,
Application,GetPhonetic,method,GetPhonetic([Text As Variant]) As String,,MISSING,,
Application,GetSaveAsFilename,method,"GetSaveAsFilename([InitialFilename As Variant], [FileFilter As Variant], [FilterIndex As Variant], [Title As Variant], [ButtonText As Variant]) As Variant",,MISSING,,
Application,Goto,method,"Goto([Reference As Variant], [Scroll As Variant])",,MISSING,,
Application,Height,property,As Double,,MISSING,,
Application,Help,method,"Help([HelpFile As Variant], [HelpContextID As Variant])",,MISSING,,
Application,HighQualityModeForGraphics,property,As Boolean,,MISSING,,
Application,Hinstance,"property, read-only",As Long,,MISSING,,
Application,HinstancePtr,"property, read-only",As Variant,,MISSING,,
Application,Hwnd,"property, read-only",As Long,,MISSING,,
Application,IgnoreRemoteRequests,property,As Boolean,,MISSING,,
Application,InchesToPoints,method,InchesToPoints(Inches As Double) As Double,,MISSING,,
Application,InputBox,method,"InputBox(Prompt As String, [Title As Variant], [Default As Variant], [Left As Variant], [Top As Variant], [HelpFile As Variant], [HelpContextID As Variant], [Type As Variant]) As Variant",,MISSING,,
Application,Interactive,property,As Boolean,,MISSING,,
Application,International,"property, read-only",As Variant,,MISSING,,
Application,Intersect,method,"Intersect(Arg1 As Range, Arg2 As Range, [Arg3 As Variant], [Arg4 As Variant], [Arg5 As Variant], [Arg6 As Variant], [Arg7 As Variant], [Arg8 As Variant], [Arg9 As Variant], [Arg10 As Variant], [Arg11 As Variant], [Arg12 As Variant], [Arg13 As Variant], [Arg14 As Variant], [Arg15 As Variant], [Arg16 As Variant], [Arg17 As Variant], [Arg18 As Variant], [Arg19 As Variant], [Arg20 As Variant], [Arg21 As Variant], [Arg22 As Variant], [Arg23 As Variant], [Arg24 As Variant], [Arg25 As Variant], [Arg26 As Variant], [Arg27 As Variant], [Arg28 As Variant], [Arg29 As Variant], [Arg30 As Variant]) As Range",,PARTIAL,tests/fixtures/excel_model/probes.txt,
Application,IsSandboxed,"property, read-only",As Boolean,,MISSING,,
Application,Iteration,property,As Boolean,,MISSING,,
Application,LanguageSettings,"property, read-only",As LanguageSettings,,MISSING,,
Application,LargeOperationCellThousandCount,property,As Long,,MISSING,,
Application,Left,property,As Double,,MISSING,,
Application,LibraryPath,"property, read-only",As String,,MISSING,,
Application,MacroOptions,method,"MacroOptions([Macro As Variant], [Description As Variant], [HasMenu As Variant], [MenuText As Variant], [HasShortcutKey As Variant], [ShortcutKey As Variant], [Category As Variant], [StatusBar As Variant], [HelpContextID As Variant], [HelpFile As Variant], [ArgumentDescriptions As Variant])",,MISSING,,
Application,MailLogoff,method,MailLogoff(),,MISSING,,
Application,MailLogon,method,"MailLogon([Name As Variant], [Password As Variant], [DownloadNewMail As Variant])",,MISSING,,
Application,MailSession,"property, read-only",As Variant,,MISSING,,
Application,MailSystem,"property, read-only",As XlMailSystem,,MISSING,,
Application,MapPaperSize,property,As Boolean,,MISSING,,
Application,MathCoprocessorAvailable,"property, read-only",As Boolean,,MISSING,,
Application,MaxChange,property,As Double,,MISSING,,
Application,MaxIterations,property,As Long,,MISSING,,
Application,MaxSupportedCompatibilityVersion,"property, read-only",As Long,,MISSING,,
Application,MeasurementUnit,property,As Long,,MISSING,,
Application,MergeInstances,property,As Boolean,,MISSING,,
Application,MouseAvailable,"property, read-only",As Boolean,,MISSING,,
Application,MoveAfterReturn,property,As Boolean,,MISSING,,
Application,MoveAfterReturnDirection,property,As XlDirection,,MISSING,,
Application,MultiThreadedCalculation,"property, read-only",As MultiThreadedCalculation,,MISSING,,
Application,Name,"property, read-only",As String,,PARTIAL,tests/fixtures/excel_model/probes.txt,
Application,Names,"property, read-only",As Names,,UNASSESSED,,
Application,NetworkTemplatesPath,"property, read-only",As String,,MISSING,,
Application,NewWorkbook,event,NewWorkbook(Wb As Workbook),,MISSING,,
Application,NextLetter,method,NextLetter() As Workbook,,MISSING,,
Application,ODBCErrors,"property, read-only",As ODBCErrors,,MISSING,,
Application,ODBCTimeout,property,As Long,,MISSING,,
Application,OLEDBErrors,"property, read-only",As OLEDBErrors,,MISSING,,
Application,OnKey,method,"OnKey(Key As String, [Procedure As Variant])",,MISSING,,
Application,OnRepeat,method,"OnRepeat(Text As String, Procedure As String)",,MISSING,,
Application,OnTime,method,"OnTime(EarliestTime As Variant, Procedure As String, [LatestTime As Variant], [Schedule As Variant])",,MISSING,,
Application,OnUndo,method,"OnUndo(Text As String, Procedure As String)",,MISSING,,
Application,OnWindow,property,As String,,MISSING,,
Application,OperatingSystem,"property, read-only",As String,,MISSING,,
Application,OrganizationName,"property, read-only",As String,,MISSING,,
Application,Parent,"property, read-only",As Application,,UNASSESSED,,
Application,Path,"property, read-only",As String,,UNASSESSED,,
Application,PathSeparator,"property, read-only",As String,,MISSING,,
Application,PivotTableSelection,property,As Boolean,,MISSING,,
Application,PreviousSelections,"property, read-only",As Variant,,MISSING,,
Application,PrintCommunication,property,As Boolean,,MISSING,,
Application,ProductCode,"property, read-only",As String,,MISSING,,
Application,PromptForSummaryInfo,property,As Boolean,,MISSING,,
Application,ProtectedViewWindowActivate,event,ProtectedViewWindowActivate(Pvw As ProtectedViewWindow),,MISSING,,
Application,ProtectedViewWindowBeforeClose,event,"ProtectedViewWindowBeforeClose(Pvw As ProtectedViewWindow, Reason As XlProtectedViewCloseReason, Cancel As Boolean)",,MISSING,,
Application,ProtectedViewWindowBeforeEdit,event,"ProtectedViewWindowBeforeEdit(Pvw As ProtectedViewWindow, Cancel As Boolean)",,MISSING,,
Application,ProtectedViewWindowDeactivate,event,ProtectedViewWindowDeactivate(Pvw As ProtectedViewWindow),,MISSING,,
Application,ProtectedViewWindowOpen,event,ProtectedViewWindowOpen(Pvw As ProtectedViewWindow),,MISSING,,
Application,ProtectedViewWindowResize,event,ProtectedViewWindowResize(Pvw As ProtectedViewWindow),,MISSING,,
Application,ProtectedViewWindows,"property, read-only",As ProtectedViewWindows,,MISSING,,
Application,QuickAnalysis,"property, read-only",As QuickAnalysis,,MISSING,,
Application,Quit,method,Quit(),,UNASSESSED,,
Application,Range,"property, read-only",As Range,,UNASSESSED,,
Application,Ready,"property, read-only",As Boolean,,MISSING,,
Application,RecentFiles,"property, read-only",As RecentFiles,,MISSING,,
Application,RecordMacro,method,"RecordMacro([BasicCode As Variant], [XlmCode As Variant])",,MISSING,,
Application,RecordRelative,"property, read-only",As Boolean,,MISSING,,
Application,ReferenceStyle,property,As XlReferenceStyle,,MISSING,,
Application,RegisteredFunctions,"property, read-only",As Variant,,MISSING,,
Application,RegisterXLL,method,RegisterXLL(Filename As String) As Boolean,,MISSING,,
Application,Repeat,method,Repeat(),,MISSING,,
Application,ReplaceFormat,property,As CellFormat,,MISSING,,
Application,RollZoom,property,As Boolean,,MISSING,,
Application,Rows,"property, read-only",As Range,,UNASSESSED,,
Application,RTD,"property, read-only",As RTD,,MISSING,,
Application,Run,method,"Run([Macro As Variant], [Arg1 As Variant], [Arg2 As Variant], [Arg3 As Variant], [Arg4 As Variant], [Arg5 As Variant], [Arg6 As Variant], [Arg7 As Variant], [Arg8 As Variant], [Arg9 As Variant], [Arg10 As Variant], [Arg11 As Variant], [Arg12 As Variant], [Arg13 As Variant], [Arg14 As Variant], [Arg15 As Variant], [Arg16 As Variant], [Arg17 As Variant], [Arg18 As Variant], [Arg19 As Variant], [Arg20 As Variant], [Arg21 As Variant], [Arg22 As Variant], [Arg23 As Variant], [Arg24 As Variant], [Arg25 As Variant], [Arg26 As Variant], [Arg27 As Variant], [Arg28 As Variant], [Arg29 As Variant], [Arg30 As Variant]) As Variant",,UNASSESSED,,
Application,ScreenUpdating,property,As Boolean,,PARTIAL,tests/fixtures/excel_model/probes.txt,
Application,Selection,"property, read-only",As Object,,UNASSESSED,,
Application,SendKeys,method,"SendKeys(Keys As Variant, [Wait As Variant])",,MISSING,,
Application,SensitivityLabelPolicy,"property, read-only",As SensitivityLabelPolicy,,MISSING,,
Application,SharePointVersion,method,SharePointVersion(bstrUrl As String) As Long,,MISSING,,
Application,SheetActivate,event,SheetActivate(Sh As Object),,MISSING,,
Application,SheetBeforeDelete,event,SheetBeforeDelete(Sh As Object),,MISSING,,
Application,SheetBeforeDoubleClick,event,"SheetBeforeDoubleClick(Sh As Object, Target As Range, Cancel As Boolean)",,MISSING,,
Application,SheetBeforeRightClick,event,"SheetBeforeRightClick(Sh As Object, Target As Range, Cancel As Boolean)",,MISSING,,
Application,SheetCalculate,event,SheetCalculate(Sh As Object),,MISSING,,
Application,SheetChange,event,"SheetChange(Sh As Object, Target As Range)",,MISSING,,
Application,SheetDeactivate,event,SheetDeactivate(Sh As Object),,MISSING,,
Application,SheetFollowHyperlink,event,"SheetFollowHyperlink(Sh As Object, Target As Hyperlink)",,MISSING,,
Application,SheetLensGalleryRenderComplete,event,SheetLensGalleryRenderComplete(Sh As Object),,MISSING,,
Application,SheetPivotTableAfterValueChange,event,"SheetPivotTableAfterValueChange(Sh As Object, TargetPivotTable As PivotTable, TargetRange As Range)",,MISSING,,
Application,SheetPivotTableBeforeAllocateChanges,event,"SheetPivotTableBeforeAllocateChanges(Sh As Object, TargetPivotTable As PivotTable, ValueChangeStart As Long, ValueChangeEnd As Long, Cancel As Boolean)",,MISSING,,
Application,SheetPivotTableBeforeCommitChanges,event,"SheetPivotTableBeforeCommitChanges(Sh As Object, TargetPivotTable As PivotTable, ValueChangeStart As Long, ValueChangeEnd As Long, Cancel As Boolean)",,MISSING,,
Application,SheetPivotTableBeforeDiscardChanges,event,"SheetPivotTableBeforeDiscardChanges(Sh As Object, TargetPivotTable As PivotTable, ValueChangeStart As Long, ValueChangeEnd As Long)",,MISSING,,
Application,SheetPivotTableUpdate,event,"SheetPivotTableUpdate(Sh As Object, Target As PivotTable)",,MISSING,,
Application,Sheets,"property, read-only",As Sheets,,UNASSESSED,,
Application,SheetSelectionChange,event,"SheetSelectionChange(Sh As Object, Target As Range)",,MISSING,,
Application,SheetsInNewWorkbook,property,As Long,,MISSING,,
Application,SheetTableUpdate,event,"SheetTableUpdate(Sh As Object, Target As TableObject)",,MISSING,,
Application,ShowChartTipNames,property,As Boolean,,MISSING,,
Application,ShowChartTipValues,property,As Boolean,,MISSING,,
Application,ShowConvertToDataType,property,As Boolean,,MISSING,,
Application,ShowDevTools,property,As Boolean,,MISSING,,
Application,ShowMenuFloaties,property,As Boolean,,MISSING,,
Application,ShowQuickAnalysis,property,As Boolean,,MISSING,,
Application,ShowSelectionFloaties,property,As Boolean,,MISSING,,
Application,ShowStartupDialog,property,As Boolean,,MISSING,,
Application,ShowToolTips,property,As Boolean,,MISSING,,
Application,SmartArtColors,"property, read-only",As SmartArtColors,,MISSING,,
Application,SmartArtLayouts,"property, read-only",As SmartArtLayouts,,MISSING,,
Application,SmartArtQuickStyles,"property, read-only",As SmartArtQuickStyles,,MISSING,,
Application,Speech,"property, read-only",As Speech,,MISSING,,
Application,SpellingOptions,"property, read-only",As SpellingOptions,,MISSING,,
Application,StandardFont,property,As String,,MISSING,,
Application,StandardFontSize,property,As Double,,MISSING,,
Application,StartupPath,"property, read-only",As String,,MISSING,,
Application,StatusBar,property,As Variant,,UNASSESSED,,
Application,TemplatesPath,"property, read-only",As String,,MISSING,,
Application,ThisCell,"property, read-only",As Range,,MISSING,,
Application,ThisWorkbook,"property, read-only",As Workbook,,UNASSESSED,,
Application,ThousandsSeparator,property,As String,,MISSING,,
Application,Top,property,As Double,,MISSING,,
Application,TransitionMenuKey,property,As String,,MISSING,,
Application,TransitionMenuKeyAction,property,As Long,,MISSING,,
Application,TransitionNavigKeys,property,As Boolean,,MISSING,,
Application,Undo,method,Undo(),,MISSING,,
Application,Union,method,"Union(Arg1 As Range, Arg2 As Range, [Arg3 As Variant], [Arg4 As Variant], [Arg5 As Variant], [Arg6 As Variant], [Arg7 As Variant], [Arg8 As Variant], [Arg9 As Variant], [Arg10 As Variant], [Arg11 As Variant], [Arg12 As Variant], [Arg13 As Variant], [Arg14 As Variant], [Arg15 As Variant], [Arg16 As Variant], [Arg17 As Variant], [Arg18 As Variant], [Arg19 As Variant], [Arg20 As Variant], [Arg21 As Variant], [Arg22 As Variant], [Arg23 As Variant], [Arg24 As Variant], [Arg25 As Variant], [Arg26 As Variant], [Arg27 As Variant], [Arg28 As Variant], [Arg29 As Variant], [Arg30 As Variant]) As Range",,PARTIAL,tests/fixtures/excel_model/probes.txt,
Application,UsableHeight,"property, read-only",As Double,,MISSING,,
Application,UsableWidth,"property, read-only",As Double,,MISSING,,
Application,UseClusterConnector,property,As Boolean,,MISSING,,
Application,UsedObjects,"property, read-only",As UsedObjects,,MISSING,,
Application,UserControl,property,As Boolean,,MISSING,,
Application,UserLibraryPath,"property, read-only",As String,,MISSING,,
Application,UserName,property,As String,,UNASSESSED,,
Application,UseSystemSeparators,property,As Boolean,,MISSING,,
Application,Value,"property, read-only",As String,,MISSING,,
Application,VBE,"property, read-only",As VBE,,MISSING,,
Application,Version,"property, read-only",As String,,UNASSESSED,,
Application,Visible,property,As Boolean,,UNASSESSED,,
Application,Volatile,method,Volatile([Volatile As Variant]),,UNASSESSED,,
Application,Wait,method,Wait(Time As Variant) As Boolean,,UNASSESSED,,
Application,WarnOnFunctionNameConflict,property,As Boolean,,MISSING,,
Application,Watches,"property, read-only",As Watches,,MISSING,,
Application,Width,property,As Double,,MISSING,,
Application,WindowActivate,event,"WindowActivate(Wb As Workbook, Wn As Window)",,MISSING,,
Application,WindowDeactivate,event,"WindowDeactivate(Wb As Workbook, Wn As Window)",,MISSING,,
Application,WindowResize,event,"WindowResize(Wb As Workbook, Wn As Window)",,MISSING,,
Application,Windows,"property, read-only",As Windows,,MISSING,,
Application,WindowsForPens,"property, read-only",As Boolean,,MISSING,,
Application,WindowState,property,As XlWindowState,,MISSING,,
Application,WorkbookActivate,event,WorkbookActivate(Wb As Workbook),,MISSING,,
Application,WorkbookAddinInstall,event,WorkbookAddinInstall(Wb As Workbook),,MISSING,,
Application,WorkbookAddinUninstall,event,WorkbookAddinUninstall(Wb As Workbook),,MISSING,,
Application,WorkbookAfterRemoteChange,event,WorkbookAfterRemoteChange(Wb As Workbook),,MISSING,,
Application,WorkbookAfterSave,event,"WorkbookAfterSave(Wb As Workbook, Success As Boolean)",,MISSING,,
Application,WorkbookAfterXmlExport,event,"WorkbookAfterXmlExport(Wb As Workbook, Map As XmlMap, Url As String, Result As XlXmlExportResult)",,MISSING,,
Application,WorkbookAfterXmlImport,event,"WorkbookAfterXmlImport(Wb As Workbook, Map As XmlMap, IsRefresh As Boolean, Result As XlXmlImportResult)",,MISSING,,
Application,WorkbookBeforeClose,event,"WorkbookBeforeClose(Wb As Workbook, Cancel As Boolean)",,MISSING,,
Application,WorkbookBeforePrint,event,"WorkbookBeforePrint(Wb As Workbook, Cancel As Boolean)",,MISSING,,
Application,WorkbookBeforeRemoteChange,event,WorkbookBeforeRemoteChange(Wb As Workbook),,MISSING,,
Application,WorkbookBeforeSave,event,"WorkbookBeforeSave(Wb As Workbook, SaveAsUI As Boolean, Cancel As Boolean)",,MISSING,,
Application,WorkbookBeforeXmlExport,event,"WorkbookBeforeXmlExport(Wb As Workbook, Map As XmlMap, Url As String, Cancel As Boolean)",,MISSING,,
Application,WorkbookBeforeXmlImport,event,"WorkbookBeforeXmlImport(Wb As Workbook, Map As XmlMap, Url As String, IsRefresh As Boolean, Cancel As Boolean)",,MISSING,,
Application,WorkbookDeactivate,event,WorkbookDeactivate(Wb As Workbook),,MISSING,,
Application,WorkbookModelChange,event,"WorkbookModelChange(Wb As Workbook, Changes As ModelChanges)",,MISSING,,
Application,WorkbookNewChart,event,"WorkbookNewChart(Wb As Workbook, Ch As Chart)",,MISSING,,
Application,WorkbookNewSheet,event,"WorkbookNewSheet(Wb As Workbook, Sh As Object)",,MISSING,,
Application,WorkbookOpen,event,WorkbookOpen(Wb As Workbook),,MISSING,,
Application,WorkbookPivotTableCloseConnection,event,"WorkbookPivotTableCloseConnection(Wb As Workbook, Target As PivotTable)",,MISSING,,
Application,WorkbookPivotTableOpenConnection,event,"WorkbookPivotTableOpenConnection(Wb As Workbook, Target As PivotTable)",,MISSING,,
Application,WorkbookRowsetComplete,event,"WorkbookRowsetComplete(Wb As Workbook, Description As String, Sheet As String, Success As Boolean)",,MISSING,,
Application,Workbooks,"property, read-only",As Workbooks,,UNASSESSED,,
Application,WorkbookSync,event,"WorkbookSync(Wb As Workbook, SyncEventType As MsoSyncEventType)",,MISSING,,
Application,WorksheetFunction,"property, read-only",As WorksheetFunction,,PARTIAL,tests/fixtures/excel_model/probes.txt,
Application,Worksheets,"property, read-only",As Sheets,,UNASSESSED,,
Areas,_Default,"property, read-only",As Range,,MISSING,,
Areas,_NewEnum,"property, read-only",As IUnknown,,MISSING,,
Areas,Application,"property, read-only",As Application,,MISSING,,
Areas,Count,"property, read-only",As Long,,UNASSESSED,,
Areas,Creator,"property, read-only",As XlCreator,,MISSING,,
Areas,Item,"property, read-only",As Range,,UNASSESSED,,
Areas,Parent,"property, read-only",As Object,,MISSING,,
Border,Application,"property, read-only",As Application,,UNASSESSED,,
Border,Color,property,As Variant,,VERIFIED,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/fixtures/format/border_storage.json; tests/test_live_excel_model_gate.py,
Border,ColorIndex,property,As Variant,,PARTIAL,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/fixtures/format/border_storage.json; tests/test_live_excel_model_gate.py,ColorIndex 0 is unmeasured and raises 9.
Border,Creator,"property, read-only",As XlCreator,,MISSING,,
Border,LineStyle,property,As Variant,,VERIFIED,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/fixtures/format/border_storage.json; tests/test_live_excel_model_gate.py,
Border,Parent,"property, read-only",As Object,,UNASSESSED,,
Border,ThemeColor,property,As Variant,,VERIFIED,tests/fixtures/range_format.json; tests/fixtures/format/formats_answers.json; tests/fixtures/format/border_storage.json; tests/test_live_excel_model_gate.py,
